key,value
data_cutoff,2026年3月
total,2572
total_2025,2579
zhengbian,1949
waibao,485
shixi,124
marketing,706
budget_zb,2206
budget_wb,459
attrition_active,1.7
attrition_passive,1.3
net_change,-7
overseas_onboard,28
